event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,point,raw_price,decimal_price,snapshot_time,raw_saved_path,book_implied_prob,consensus_median_prob,edge_prob,edge_rel_pct,zscore,injured,injury_status,injury_note
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,betrivers,BetRivers,h2h,Minnesota Vikings,,3.85,3.85,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.24212598425196846,0.24212598425196846,0.0,0.0,-0.48961881464669976,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,fanatics,Fanatics,h2h,Chicago Bears,,1.27,1.27,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.7392197125256674,0.7578740157480315,0.018654303222364055,0.025235126859142483,0.07705242573549671,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,fanatics,Fanatics,h2h,Minnesota Vikings,,3.6,3.6,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.2607802874743327,0.24212598425196846,-0.01865430322236422,-0.07153264306528641,-0.07705242573549301,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,bovada,Bovada,h2h,Chicago Bears,,1.33,1.33,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.706401766004415,0.7578740157480315,0.05147224974361653,0.07286540354330716,-0.6487630349846839,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,bovada,Bovada,h2h,Minnesota Vikings,,3.2,3.2,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.293598233995585,0.24212598425196846,-0.05147224974361653,-0.17531525664555103,0.6487630349846837,False,,
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,draftkings,DraftKings,h2h,Green Bay Packers,,1.27,1.27,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json,0.7444668008048291,0.677570093457944,-0.06689670734688513,-0.08985855013892408,1.1378984486895896,False,,
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,draftkings,DraftKings,h2h,New York Giants,,3.7,3.7,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json,0.25553319919517103,0.32242990654205606,0.06689670734688502,0.261792626388991,-1.137898448689589,False,,
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,williamhill_us,Caesars,h2h,Green Bay Packers,,1.38,1.38,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json,0.677570093457944,0.677570093457944,0.0,0.0,0.24932262801158592,False,,
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,williamhill_us,Caesars,h2h,New York Giants,,2.9,2.9,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json,0.32242990654205606,0.32242990654205606,0.0,0.0,-0.24932262801158664,False,,
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,fanduel,FanDuel,h2h,Green Bay Packers,,1.62,1.62,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json,0.5824742268041238,0.677570093457944,0.0950958666538202,0.1632619303614258,-1.0138170855297681,False,,
