event_id,market_key,outcome_name,bookmaker_key,bookmaker_title,price,median_price,pct_diff,point,snapshot,raw_path
96ce7785b0980b03282c7e10d4c58d4a,h2h,Kansas City Chiefs,draftkings,DraftKings,1.46,1.46,0.0,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Kansas City Chiefs,williamhill_us,Caesars,1.46,1.46,0.0,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Denver Broncos,betus,BetUS,2.8,2.8,0.0,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Denver Broncos,lowvig,LowVig.ag,2.8,2.8,0.0,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Denver Broncos,betonlineag,BetOnline.ag,2.8,2.8,0.0,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Denver Broncos,betrivers,BetRivers,2.8,2.8,0.0,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Denver Broncos,bovada,Bovada,2.8,2.8,0.0,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Los Angeles Rams,fanduel,FanDuel,1.56,1.565,-0.0031948881789136702,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Los Angeles Rams,mybookieag,MyBookie.ag,1.56,1.565,-0.0031948881789136702,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Los Angeles Rams,fanatics,Fanatics,1.56,1.565,-0.0031948881789136702,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Los Angeles Rams,bovada,Bovada,1.56,1.565,-0.0031948881789136702,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Denver Broncos,williamhill_us,Caesars,2.79,2.8,-0.0035714285714284954,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
0ae85bbc3711ad0cb94475a40e2364f0,h2h,Carolina Panthers,williamhill_us,Caesars,2.59,2.6,-0.003846153846153935,,20251116_2025,backtest/cache/event_props_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,Arizona Cardinals,betus,BetUS,2.59,2.6,-0.003846153846153935,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Cleveland Browns,draftkings,DraftKings,4.4,4.42,-0.0045248868778279576,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Cleveland Browns,williamhill_us,Caesars,4.4,4.42,-0.0045248868778279576,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Cleveland Browns,bovada,Bovada,4.4,4.42,-0.0045248868778279576,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
