event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,point,raw_price,decimal_price,snapshot_time,raw_saved_path
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,williamhill_us,Caesars,h2h,Green Bay Packers,,1.38,1.38,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,williamhill_us,Caesars,h2h,New York Giants,,2.9,2.9,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,fanduel,FanDuel,h2h,Green Bay Packers,,1.62,1.62,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,fanduel,FanDuel,h2h,New York Giants,,2.26,2.26,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,mybookieag,MyBookie.ag,h2h,Green Bay Packers,,1.55,1.55,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,mybookieag,MyBookie.ag,h2h,New York Giants,,2.35,2.35,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,betrivers,BetRivers,h2h,Green Bay Packers,,1.26,1.26,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,betrivers,BetRivers,h2h,New York Giants,,3.5,3.5,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,fanatics,Fanatics,h2h,Green Bay Packers,,1.33,1.33,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,fanatics,Fanatics,h2h,New York Giants,,3.2,3.2,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,bovada,Bovada,h2h,Green Bay Packers,,1.67,1.67,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,bovada,Bovada,h2h,New York Giants,,2.15,2.15,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,draftkings,DraftKings,h2h,Houston Texans,,1.06,1.06,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,draftkings,DraftKings,h2h,Tennessee Titans,,9.5,9.5,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,williamhill_us,Caesars,h2h,Houston Texans,,1.01,1.01,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,williamhill_us,Caesars,h2h,Tennessee Titans,,15.0,15.0,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,fanduel,FanDuel,h2h,Houston Texans,,1.01,1.01,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,fanduel,FanDuel,h2h,Tennessee Titans,,16.0,16.0,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,mybookieag,MyBookie.ag,h2h,Houston Texans,,1.02,1.02,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,mybookieag,MyBookie.ag,h2h,Tennessee Titans,,10.75,10.75,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,fanatics,Fanatics,h2h,Houston Texans,,1.02,1.02,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,fanatics,Fanatics,h2h,Tennessee Titans,,15.0,15.0,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,bovada,Bovada,h2h,Houston Texans,,1.05,1.05,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
fd2f29289d6437a7c07d4780c5f04936,2025-11-16T18:02:55Z,Tennessee Titans,Houston Texans,bovada,Bovada,h2h,Tennessee Titans,,10.0,10.0,20251116_2040,backtest/cache/event_props_full_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,draftkings,DraftKings,h2h,Atlanta Falcons,,1.37,1.37,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,draftkings,DraftKings,h2h,Carolina Panthers,,3.0,3.0,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,williamhill_us,Caesars,h2h,Atlanta Falcons,,1.4,1.4,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
